Specimen,Subset,Statistic,Count,Total_Cells
Specimen_002_CP49 PBA31 NP6 GFP.fcs,"Specimen_002_CP49 PBA31 NP6 GFP.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",4.06,812.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,"Specimen_002_CP49 PBA31 NP6 GFP.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",59.6,11917.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Comp-Pacific Blue-A subset,96.7,19339.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Lymphocytes,79.5,15901.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Lymphocytes/Single Cells,76.5,12169.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,"Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",97.3,11846.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,Mean : Comp-FITC-A = 2263.326416016,2263.0,,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,"Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",87.1,10312.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,"Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",71.0,14201.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,"Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.8,161.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,"Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.32,464.0,20000
Specimen_002_CP49PBA10 NP4 GFP-1.fcs,"Specimen_002_CP49PBA10 NP4 GFP-1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",25.9,5174.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,Specimen_002_CP49PBA10 NP4 GFP.fcs/Comp-Pacific Blue-A subset,96.6,19318.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,Specimen_002_CP49PBA10 NP4 GFP.fcs/Lymphocytes,79.3,15856.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,Specimen_002_CP49PBA10 NP4 GFP.fcs/Lymphocytes/Single Cells,76.4,12119.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,"Specimen_002_CP49PBA10 NP4 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",97.4,11807.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,Mean : Comp-FITC-A = 2267.587890625,2268.0,,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,"Specimen_002_CP49PBA10 NP4 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",86.6,10224.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,"Specimen_002_CP49PBA10 NP4 GFP.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",70.5,14098.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,"Specimen_002_CP49PBA10 NP4 GFP.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.9,180.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,"Specimen_002_CP49PBA10 NP4 GFP.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.35,471.0,20000
Specimen_002_CP49PBA10 NP4 GFP.fcs,"Specimen_002_CP49PBA10 NP4 GFP.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",26.3,5251.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Comp-Pacific Blue-A subset,94.8,18970.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Lymphocytes,93.0,18606.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Lymphocytes/Single Cells,75.9,14123.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,"Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",96.1,13578.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,Mean : Comp-FITC-A = 2017.369873047,2017.0,,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,"Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",92.1,12511.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,"Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",85.7,17135.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,"Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",1.16,232.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,"Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",3.76,752.0,20000
Specimen_002_CP49PBA10 NP6 GFP-1.fcs,"Specimen_002_CP49PBA10 NP6 GFP-1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",9.4,1881.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Comp-Pacific Blue-A subset,95.1,19026.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Lymphocytes,92.9,18588.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Lymphocytes/Single Cells,74.7,13882.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,"Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",96.3,13369.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,Mean : Comp-FITC-A = 2019.025024414,2019.0,,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,"Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",92.4,12352.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,"Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",85.9,17177.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,"Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",1.09,218.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,"Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",3.62,724.0,20000
Specimen_002_CP49PBA10 NP6 GFP_0011.fcs,"Specimen_002_CP49PBA10 NP6 GFP_0011.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",9.4,1881.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Comp-Pacific Blue-A subset,96.3,19267.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Lymphocytes,81.4,16275.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells,82.9,13486.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",97.8,13183.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,Mean : Comp-FITC-A = 2210.18359375,2210.0,,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",88.7,11688.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",72.4,14486.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.99,198.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.53,505.0,20000
Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP-1_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",24.1,4811.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Comp-Pacific Blue-A subset,96.3,19262.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Lymphocytes,81.4,16277.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Lymphocytes/Single Cells,82.9,13497.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",97.7,13185.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,Mean : Comp-FITC-A = 2197.630126953,2198.0,,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",87.7,11563.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",71.7,14347.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.92,185.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.65,530.0,20000
Specimen_002_CP49PBA31 NP4 GFP_001.fcs,"Specimen_002_CP49PBA31 NP4 GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",24.7,4938.0,20000
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Comp-Pacific Blue-A subset,82.1,8061.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Lymphocytes,78.0,7667.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells,74.4,5701.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",85.8,4890.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,Mean : Comp-FITC-A = 108.611122131,109.0,,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",3.7,181.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",4.41,433.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.56,55.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",16.8,1653.0,9824
Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP-1_002.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",78.2,7683.0,9824
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Comp-Pacific Blue-A subset,87.6,17521.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Lymphocytes,87.5,17510.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Lymphocytes/Single Cells,68.9,12061.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",88.6,10684.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,Mean : Comp-FITC-A = 110.639099121,111.0,,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",3.47,371.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",5.41,1082.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.46,92.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",11.7,2331.0,20000
Specimen_002_CP49PBA31 NP10 GFP_002.fcs,"Specimen_002_CP49PBA31 NP10 GFP_002.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",82.5,16495.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,Specimen_002_CP79 NP4 GFP-1_001.fcs/Comp-Pacific Blue-A subset,95.8,19163.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,Specimen_002_CP79 NP4 GFP-1_001.fcs/Lymphocytes,91.8,18354.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,Specimen_002_CP79 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells,71.8,13169.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,"Specimen_002_CP79 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",98.0,12901.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,Mean : Comp-FITC-A = 2207.254150391,2207.0,,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,"Specimen_002_CP79 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",93.0,12000.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,"Specimen_002_CP79 NP4 GFP-1_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",86.2,17235.0,20000
